Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
Worst Taste In Girls,Charley,언제 들어도 기분 좋아지는 멜로디의 POP,"휴식, 힐링, 산책, 행복","[17, 16, 17, 16]",16.5,0.5
Worth It,Ted Park,가을의 고즈넉한 감성이 흐르는 POP,"저녁, 산책, 해외음악, 드라이브, 출/퇴근길, POP","[16, 17, 17, 16, 15, 16, 14, 3, 2]",12.88888888888889,5.626217289409849
Would U,Lil Halima,가을이 오면 너랑 들으려고 꺼냈어,"해외음악, 2020년대, 기분전환, 편안한, 오늘의선곡, 산책, 휴식, POP","[16, 16, 18, 15, 15, 17, 17, 15, 16, 8, 15, 5, 7]",13.846153846153847,4.073293013807301
Wow Thing,슬기 (SEULGI) & 신비 (SINB) & 청하 & 소연 ((여자)아이들),나의 자존감을 높여주는 아이돌 플레이리스트,"오늘의선곡, 운동, 출/퇴근길, 국내음악, 아이돌, 헬스, 힘찬, 가요, 자전거, 지침/힘듦","[16, 15, 15, 13, 15, 16, 14, 15, 14, 16, 12, 8, 12, 12, 3, 0, 7, 2]",11.38888888888889,5.012638348203124
Wrapped Around Your Finger,Post Malone,여름 휴가를 위한 스타일리쉬한 팝송,"맑은날, 여름, POP, 휴가/여행, 드라이브, 기분전환","[16, 18, 17, 17, 15, 17, 15, 15, 7, 2, 1]",12.727272727272727,5.986210048419755
Wrong,Anna Clendening,"선선해진 가을 날씨 즐기는, ISFJ의 감성팝 PLAYLIST ᕷ","센치한, ISFJ, 선선한, mbti, 가을","[15, 8]",11.5,3.5
Wrong About Forever,Jeff Bernat,가을이 오면 너랑 들으려고 꺼냈어,"2010년대, TODAY PICK, 해외음악, 기분전환, POP, 오늘의선곡, 가을, 드라이브","[16, 16, 18, 17, 15, 15, 17, 15, 8, 15, 5, 7, 2]",12.76923076923077,5.086238539943551
Wrong Places,H.E.R.,"""이 노래 뭐야?"" 틀어 놓으면 옆에서 자꾸 물어봐 pt.12","기분전환, 집콕","[16, 18, 16, 15, 12, 7]",14.0,3.605551275463989
Wrongside,MisterWives,오늘 기분 맑음✨,"20대, POP, 2020년대, TODAY PICK, 해외음악, 2010년대","[16, 17, 5]",12.666666666666666,5.436502143433364
Wu,나플라 (nafla),[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"스트릿우먼파이터, 스맨파, dance","[12, 11, 12, 10, 10, 7, 2, 2]",8.25,3.897114317029974
X (Butterfly),원슈타인,MSG워너비 탄생! 재조명된 노래들,"보컬그룹, 놀면뭐하니, 명곡, 유야호","[16, 8, 2, 5, 6]",7.4,4.715930449020639
X (Feat. KAROL G),Jonas Brothers,일상의 텐션으로 스위치 ON!,"오늘의선곡, POP, 출/퇴근길, 설연휴특집, 2020년대, 신나는","[15, 15, 18, 16, 15, 16, 18, 8, 13, 12, 3, 5, 2]",12.0,5.3923022056375025
X (Feat. 이하이),코드 쿤스트 (CODE KUNST),차가운 공기에 더해진 감성 플레이리스트,"R&B/소울, 겨울, 오늘의선곡, 몽환적인, 2010년대, 기분전환","[16, 18, 15, 15, 16, 14, 15, 8, 15, 5, 7, 3]",12.25,4.815340071064556
X Gon' Give It To Ya,DMX,[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"멋짐, dance, 갈라토크쇼, 걸크러쉬, 힙합, 스맨파스우파","[17, 17, 14, 14, 14, 11, 11]",14.0,2.2677868380553634
XI (Feat. 이하이),코드 쿤스트 (CODE KUNST),주말 바이브를 끌어올릴 플레이리스트,"몽환적인, 그루브한, 2010년대, 집, R&B/소울","[16, 15, 15, 14, 15, 5, 3]",11.857142857142858,5.026460595931194
X발 (XIBAL),식케이 (Sik-K),막 몸이 이케이케 그루브 타는 플레이리스트,"기분전환, 출/퇴근길, 국내음악, 오늘의선곡","[16, 16, 18, 15, 15, 13, 15, 16, 8, 15, 3, 7]",13.083333333333334,4.367652560459553
Y,FANXY CHILD,지금 이 순간과 찰떡같이 Chill한 음악들,"편안한, 설렘, 오늘의선곡, 2010년대, 랩/힙합, 국내음악, 그루브한","[16, 15, 15, 13, 15, 15, 15, 17, 12, 8, 17, 12, 5]",13.461538461538462,3.388110083930037
Y,엠블랙,2000년대 인기가요 띵곡 모음,"스트레스, 똥밟았네, 감성, kpop, 케이팝, 아이돌노래, 봄, 아이돌, 댄스, 기분전환","[16, 18, 15, 18, 14, 17, 17, 13, 13, 12, 15, 1, 7, 2]",12.714285714285714,5.350948800093726
Y (Please Tell Me Why),소유 (SOYOU),○ 리메이크로 다시 태어난 명곡들 VOL2 ○,리메이크,"[8, 2]",5.0,3.0
Y (Please Tell Me Why),프리스타일,[1990년] 싸이월드 부활 예고! 이 노래 ㄱ나니? 종합편,"오늘의선곡, 쓸쓸한, 힙합, POP, 10대, 30대, R&B/소울, 미니홈피, 도토리페스티벌, 명곡, 인기, TODAY PICK, 노동요, 국내음악, 90년대, bgm, 차트, OST","[16, 15, 15, 13, 15, 16, 18, 17, 14, 13, 8, 17, 15, 2, 6, 6, 3, 4, 5, 1, 0]",10.428571428571429,5.996597674804387
Y U Gotta B Like That,Audrey Mika,도입부터 너무 좋아! 호불호 안갈리는 팝송 ♪,"드라이브, 기분전환, 팝송, 외출, 매장음악","[16, 16, 18, 17, 15, 17, 17, 16, 15, 12, 1, 7, 2]",13.0,5.615911461059686
YAYAYA (Feat. Omega Sapien),Colde (콜드),지친 수요일을 깨워줄 플레이리스트,"운동, 그루브한, 기분전환, 가을, 오늘의선곡, 휴가/여행","[16, 18, 15, 15, 15, 15, 15, 15, 15, 15, 8, 15, 7, 1]",13.214285714285714,4.426842980670334
YMCA,Village People,아빠차에서 들었던 주옥같은 팝음악들,"집, 30대, 오늘의선곡, 올드팝","[15, 15, 16, 17, 8, 5, 6, 5]",10.875,4.985917668794783
YNF (Feat. nafla & 버벌진트),그루비룸 (GroovyRoom),"파워풀한 사운드의 매력, 힙합","국내음악, 랩/힙합, 신나는, 헬스","[16, 13, 18, 17, 14, 12, 17, 2]",13.625,4.8202048711647105
YOU,Triathalon,매일 듣고 또 들어도 느낌있는 트랙,"라운지, 편안한, POP, 흐린날, 2020년대, 휴식","[17, 17, 15, 13, 5]",13.4,4.454211490264017
YOU (FEAT. TA-KU),MILLIC (밀릭),차분함을 가진 플레이리스트,"휴식, 새벽, 외로움, 추운날, 몽환적인, R&B/소울, 저녁, 흐린날","[17, 17, 15, 14, 14, 15, 11, 3]",13.25,4.264680527307995
YOU AGAINST YOURSELF,Ruel,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"groove, 알앤비, 여행, Pop, 매장","[15, 17, 13, 13, 1]",11.8,5.6000000000000005
YOU AND I,박봄 (Park Bom),추억이 새록새록 떠오르는 싸이월드 BGM,"10대, 댄스, 봄, kpop, 감성, 추억의, 20대, 스트레스, 아이돌, 2000년대, 노래방, 00년대","[16, 15, 18, 14, 17, 14, 13, 12, 5, 2]",12.6,4.903060268852506
YOUNG,백현 (BAEKHYUN) & 로꼬,텐션을 높여주는 신선한 조합의 아이돌 플레이리스트,"드라이브, 기분전환, 헬스, 아이돌, 댄스, 달리기","[16, 18, 17, 18, 14, 15, 12, 15, 7, 2, 0]",12.181818181818182,6.057574999620975
YOUR EYES (Feat. Tayla Parx),The Knocks,특별한 하루를 꿈꾸는 당신을 위한 플레이리스트,"오늘의선곡, 드라이브, 일렉트로니카, 밝은","[17, 15, 15, 18, 8, 2]",12.5,5.678908345800274
YOUTH,Troye Sivan,"스타플레이리스트 : 수영의 '20대의 마지막, 연말에 듣기 좋은 음악'","자전거, 추억, 댄서블한, 휴식, 해외, 카페, 차트, 출/퇴근길, 인기, 신나는, POP, 매혹적인, 어쿠스틱, 탑백, 회상, 브이로그, 그루브한, 드라이브, 트렌디, 기분전환, 여름밤, 헬스","[16, 18, 17, 16, 17, 17, 18, 19, 15, 16, 17, 15, 18, 15, 15, 18, 14, 15, 15, 14, 13, 16, 16, 14, 15, 10, 3, 8, 7, 9, 4, 3, 7, 2, 2, 3, 1, 1, 0]",11.76923076923077,6.031802632549213
YOUTH (Acoustic),Troye Sivan,가을을 담은 어쿠스틱 TOP100,"가을, TOP100, 인기, 탑백","[15, 18, 15, 15, 15, 4]",13.666666666666666,4.459696053419884
YOUTH! (Feat. HAON & Coogie & BewhY),BOYCOLD,흐린 하루 기분UP! 시켜줄 쨍쨍한 힙합 뮤직,"오늘의선곡, 운동, 기분전환, 랩/힙합, 휴가/여행, 신나는, 휴식, 드라이브","[16, 18, 17, 15, 15, 17, 18, 15, 15, 15, 17, 12, 8, 17, 15, 7, 2, 2, 1]",12.736842105263158,5.589860230463897
Yacht,NCT 127,두근두근 여행 기분 한껏 올려주는 휴가송 !,"여행, 휴가, 연휴, 여유, 여름","[15, 17, 15, 13, 8, 1]",11.5,5.469613027140647
